player,book_line
Ausar Thompson,18.5
Tobias Harris,24.5
Jalen Duren,20.5
Cade Cunningham,41.5
Caris LeVert,19.5
Isaiah Stewart,14.5
Duncan Robinson,15.5
Marcus Sasser,11.5
Paul Reed,10.5
Dean Wade,8.5
Evan Mobley,27.5
Jarrett Allen,21.5
Donovan Mitchell,35.5
James Harden,31.5
Max Strus,17.5
Dennis Schröder,20.5
Sam Merrill,8.5
Ronald Holland II,12.5
Keon Ellis,13.5
Thomas Bryant,12.5
